FACILITY NAME,PERMIT ID,URL TO PERMIT TEXT,FACILITY LOCATION,FACILITY CITY,FACILITY STATE,FACILITY ZIP,ISSUE DATE,EXPIRE DATE,Location
MERCY MEDICAL CENTER,1-2820-00600/00004,http://www.dec.ny.gov/dardata/boss/afs/permits/128200060000004.pdf,1000 N VILLAGE AVE,ROCKVILLE CENTRE,NY,11570,07/18/2006,07/17/2016,
SOUTH NASSAU COMMUNITIES HOSPITAL,1-2820-00796/00002,http://www.dec.ny.gov/dardata/boss/afs/permits/128200079600002.pdf,1 HEALTHY WAY,OCEANSIDE,NY,11572,01/11/2006,,
RASON ASPHALT FACILITY,1-2820-01873/00009,http://www.dec.ny.gov/dardata/boss/afs/permits/128200187300009.pdf,4 JOHNSON RD,NORTH LAWRENCE,NY,11559,08/23/2002,,
OCEANSIDE LANDFILL GAS RECOVERY FACILITY,1-2820-02479/00031,http://www.dec.ny.gov/dardata/boss/afs/permits/128200247900031.pdf,LONG BEACH RD & MOTT AVE,OCEANSIDE,NY,11572,10/27/2006,,
FORMED PLASTICS INC,1-2822-00111/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/128220011100003.pdf,207 STONEHINGE LN,CARLE PLACE,NY,11514,02/01/2000,,
UNITED STATES MERCHANT MARINE ACADEMY,1-2822-00573/00017,http://www.dec.ny.gov/dardata/boss/afs/permits/128220057300017.pdf,300 STEAMBOAT RD,KINGS POINT,NY,11024,02/14/2001,,
AIRCRAFT PROTECTIVE SYSTEMS A DIV OF TRIUMPH STRUCTURES LI LLC,1-2822-01225/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/128220122500001_r1.pdf,88 URBAN AVE,WESTBURY,NY,11590,08/19/2013,08/18/2018,
NORTHROP GRUMMAN SYSTEMS CORPORATION,1-2824-00112/00012,http://www.dec.ny.gov/dardata/boss/afs/permits/128240011200012.pdf,600 GRUMMAN RD WEST,BETHPAGE,NY,11714,02/09/2006,,
GLENWOOD  BLACK START GT FACILITY,1-2824-00490/00014,http://www.dec.ny.gov/dardata/boss/afs/permits/128240049000014.pdf,SHORE RD,GLENWOOD LANDING,NY,11547,12/07/2004,,
TBG COGEN FACILITY,1-2824-00947/00005,http://www.dec.ny.gov/dardata/boss/afs/permits/128240094700005.pdf,939 S BROADWAY,HICKSVILLE,NY,11801,01/09/2002,,
SUNY OLD WESTBURY,1-2824-01747/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/128240174700003.pdf,223 STORE HILL RD,OLD WESTBURY,NY,11568,07/19/2005,,
C W POST CAMPUS OF L I UNIVERSITY,1-2824-02055/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/128240205500003.pdf,720 NORTHERN BLVD,GREENVALE,NY,11548,11/13/2002,,
SOUNDCOAT CO,1-4720-00342/02001,http://www.dec.ny.gov/dardata/boss/afs/permits/147200034202001.pdf,1 BURT DR,DEER PARK,NY,11729,11/20/2007,,
THE LONG ISLAND HOME,1-4720-00343/00007,http://www.dec.ny.gov/dardata/boss/afs/permits/147200034300007.pdf,400 SUNRISE HWY,AMITYVILLE,NY,11701,01/24/2008,,
AIRCRAFT FINISHING CORP,1-4720-00508/00007,http://www.dec.ny.gov/dardata/boss/afs/permits/147200050800007.pdf,612 RUTGERS RD,NORTH BABYLON,NY,11703,12/06/2001,,
PET CREMATORY AGENCY,1-4720-00545/00008,http://www.dec.ny.gov/dardata/boss/afs/permits/147200054500008.pdf,164 CABOT ST,WEST BABYLON,NY,11704,07/11/2002,,
AMERICAN ACRYLIC CORPORATION,1-4720-00571/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/147200057100003.pdf,400 SHEFFIELD AVE,WEST BABYLON,NY,11704,02/12/2002,,
"STERICYCLE, INC.",1-4720-00585/00015,http://www.dec.ny.gov/dardata/boss/afs/permits/147200058500015.pdf,210 SHERWOOD AVE,FARMINGDALE,NY,11735,03/06/2006,,
ADVANCED COATING TECHNIQUES INC,1-4720-00911/00007,http://www.dec.ny.gov/dardata/boss/afs/permits/147200091100007.pdf,313  WYANDANCH AVE,NORTH BABYLON,NY,11703,12/03/2001,,
CLEAR FLO TECHNOLOGIES/CLEAN & GREEN RECYCLING INC,1-4720-02934/00004,http://www.dec.ny.gov/dardata/boss/afs/permits/147200293400004.pdf,1110 A ST RTE 109,NORTH LINDENHURST,NY,11757,10/10/2013,10/09/2016,
CLEAR FLO TECHNOLOGIES/CLEAN & GREEN RECYCLING INC,1-4720-02934/00004,http://www.dec.ny.gov/dardata/boss/afs/permits/147200293400004.pdf,1110 A ST RTE 109,NORTH LINDENHURST,NY,11757,10/10/2013,10/09/2016,
CLEAR FLO TECHNOLOGIES/CLEAN & GREEN RECYCLING INC,1-4720-02934/00004,http://www.dec.ny.gov/dardata/boss/afs/permits/147200293400004.pdf,1110 A ST RTE 109,NORTH LINDENHURST,NY,11757,10/10/2013,10/09/2016,
OVERNIGHT LABELS INC,1-4720-03670/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/147200367000001.pdf,151-15 W INDUSTRY CT,DEER PARK,NY,11729,09/17/2009,,
THE REGENCY FOREST PET MEMORIAL CEMETERY,1-4722-00112/00007,http://www.dec.ny.gov/dardata/boss/afs/permits/147220011200007_r1_1.pdf,760 MIDDLE COUNTRY RD,MIDDLE ISLAND,NY,11953,08/30/2013,08/29/2023,
SUNY AT STONY BROOK,1-4722-00243/00027,http://www.dec.ny.gov/dardata/boss/afs/permits/147220024300027_r2_1.pdf,NICOLLS RD - W SIDE,STONY BROOK,NY,11794,10/06/2014,10/05/2024,
US INTERNAL REVENUE ADP CENTER,1-4722-00263/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/147220026300003_r1.pdf,1040 WAVERLY AVE|SCTM# 200-891-2-9,HOLTSVILLE,NY,11742,03/03/2015,03/02/2025,
WILLIAM FLOYD JR SR HIGH SCH & FIELDHOUSE,1-4722-00278/00002,http://www.dec.ny.gov/dardata/boss/afs/permits/147220027800002.pdf,240 MASTIC BEACH RD,MASTIC BEACH,NY,11951,07/09/2002,,
ST CHARLES HOSPITAL,1-4722-00557/00007,http://www.dec.ny.gov/dardata/boss/afs/permits/147220055700007.pdf,200 BELLE TERRE RD,PORT JEFFERSON,NY,11777,04/19/2006,,
