Ma_bao,Kho_nguon,Kho_dich,Ngay_tao,So_don,Nguoi_xuat,Nguoi_nhap,Gio_xuat,Gio_nhap
150298940,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:37,6,none,none,none,none
150298565,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:36,6,none,none,none,none
150297959,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:34,4,none,none,none,none
150297128,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:33,4,none,none,none,none
150296609,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:31,0,none,none,none,none
150295073,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:28,0,none,none,none,none
150294050,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:26,0,none,none,none,none
150290954,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:23,0,none,none,none,none
150290171,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:21,0,none,none,none,none
150288671,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:18,0,none,none,none,none
150287066,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:15,0,none,none,none,none
150285986,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:14,0,none,none,none,none
150284786,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:11,0,none,none,none,none
150283019,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:08,0,none,none,none,none
150281528,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:06,0,none,none,none,none
150280379,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:04,0,none,none,none,none
150279002,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 14:01,0,none,none,none,none
150276929,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 13:58,0,none,none,none,none
150175259,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 11:04,0,none,none,none,none
150173726,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 11:01,4,none,none,none,none
150163259,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 10:42,0,none,none,none,none
150158339,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 10:34,0,none,none,none,none
150154799,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 10:27,0,none,none,none,none
150149744,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 10:16,0,none,none,none,none
150148145,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 10:13,0,none,none,none,none
150135539,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:40,0,none,none,none,none
150135038,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:39,0,none,none,none,none
150134531,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:38,0,none,none,none,none
150133910,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:36,0,none,none,none,none
150133166,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:34,0,none,none,none,none
150133013,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:33,0,none,none,none,none
150132782,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:32,0,none,none,none,none
150132722,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:32,0,none,none,none,none
150132449,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:31,0,none,none,none,none
150132299,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:30,0,none,none,none,none
150131849,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:29,0,none,none,none,none
150131390,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:28,0,none,none,none,none
150131363,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:28,0,none,none,none,none
150130613,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:27,0,none,none,none,none
150130517,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:27,0,none,none,none,none
150130361,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:26,0,none,none,none,none
150129977,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:25,0,none,none,none,none
150129896,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:25,0,none,none,none,none
150129710,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:24,0,none,none,none,none
150129368,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:23,0,none,none,none,none
150129200,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:22,0,none,none,none,none
150129014,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:21,0,none,none,none,none
150128750,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:21,0,none,none,none,none
150128516,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:20,0,none,none,none,none
150127718,Binh Thanh 2,BC Nguyen Cong Tru (HCM),1/2/2020 9:16,0,none,none,none,none
