Ma_bao,Kho_nguon,Kho_dich,Ngay_tao,So_don,Nguoi_xuat,Nguoi_nhap,Gio_xuat,Gio_nhap
146281751,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:19:36",0,none,none,none,none
146281892,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:20:31",0,none,none,none,none
146282039,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:21:06",0,none,none,none,none
146282150,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:21:37",0,none,none,none,none
146282192,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:21:58",0,none,none,none,none
146282291,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:22:30",0,none,none,none,none
146282540,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:23:40",0,none,none,none,none
146283176,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:26:51",0,none,none,none,none
146283209,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:27:02",0,none,none,none,none
146283596,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:28:20",0,none,none,none,none
146284187,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:30:46",0,none,none,none,none
146285054,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:34:02",0,none,none,none,none
146290019,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:51:08",5,none,none,none,none
146290304,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:52:15",0,none,none,none,none
146291984,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 09:57:54",0,none,none,none,none
146292833,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 10:00:04",0,none,none,none,none
146293970,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 10:03:50",0,none,none,none,none
146295176,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 10:07:25",0,none,none,none,none
146295800,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 10:09:34",0,none,none,none,none
146295839,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 10:09:41",0,none,none,none,none
146316098,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 10:51:56",4,none,none,none,none
146317226,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 10:54:38",4,none,none,none,none
146318114,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 10:56:48",0,none,none,none,none
146321258,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:02:39",0,none,none,none,none
146322329,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:05:10",0,none,none,none,none
146323499,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:07:52",0,none,none,none,none
146324060,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:09:29",0,none,none,none,none
146324906,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:11:21",0,none,none,none,none
146325260,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:12:16",0,none,none,none,none
146326208,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:14:26",0,none,none,none,none
146326700,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:15:32",0,none,none,none,none
146328086,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:19:22",0,none,none,none,none
146328791,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:20:54",4,none,none,none,none
146328803,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:20:59",0,none,none,none,none
146329229,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:22:05",4,none,none,none,none
146329274,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:22:14",0,none,none,none,none
146329709,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:23:42",0,none,none,none,none
146330675,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 11:25:37",0,none,none,none,none
146383760,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:21:11",0,none,none,none,none
146384375,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:22:14",0,none,none,none,none
146385002,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:23:24",0,none,none,none,none
146385917,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:25:27",0,none,none,none,none
146386508,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:26:42",0,none,none,none,none
146387015,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:27:33",0,none,none,none,none
146387567,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:28:37",0,none,none,none,none
146388179,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:30:07",0,none,none,none,none
146389091,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:31:47",0,none,none,none,none
146389691,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:33:03",0,none,none,none,none
146390123,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:33:43",0,none,none,none,none
146392364,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:37:49",0,none,none,none,none
146394161,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:41:55",0,none,none,none,none
146394374,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:42:27",0,none,none,none,none
146396456,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:46:29",0,none,none,none,none
146400353,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:53:00",0,none,none,none,none
146401016,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:54:20",0,none,none,none,none
146403410,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:58:54",0,none,none,none,none
146403569,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:59:09",0,none,none,none,none
146404430,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:00:21",0,none,none,none,none
146411462,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:16:25",0,none,none,none,none
146412233,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:18:52",0,none,none,none,none
146415212,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:25:28",0,none,none,none,none
146416397,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:28:55",0,none,none,none,none
146416832,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:30:30",0,none,none,none,none
